gene_symbol,group,beta,standard_error,p_value,pollutant,study_id,evidence_type,tissue,p_below_005,average_fpkm_con,average_fpkm_p,average_tpm_con,average_tpm_p,fold_change,log2FC,expression_status,abs_log2FC,KEGG_ID,Pathway_ID,Pathway,Source
ST6GALNAC4,Female,0.28,0.13,0.04,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,True,11.60333333,10.80333333,23.41333333,23.09666667,0.9310542947230837,-0.1030627934365324,No significant fold-change threshold reached,0.1030627934365324,hsa:27090,path:hsa00604,Glycosphingolipid biosynthesis - ganglio series,KEGG
ST6GALNAC4,Female,0.28,0.13,0.04,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,True,11.60333333,10.80333333,23.41333333,23.09666667,0.9310542947230837,-0.1030627934365324,No significant fold-change threshold reached,0.1030627934365324,hsa:27090,path:hsa01100,Metabolic pathways,KEGG
ST6GALNAC4,Male,0.33,0.12,0.006,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,True,11.60333333,10.80333333,23.41333333,23.09666667,0.9310542947230837,-0.1030627934365324,No significant fold-change threshold reached,0.1030627934365324,hsa:27090,path:hsa00512,Mucin type O-glycan biosynthesis,KEGG
ST6GALNAC4,Male,0.33,0.12,0.006,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,True,11.60333333,10.80333333,23.41333333,23.09666667,0.9310542947230837,-0.1030627934365324,No significant fold-change threshold reached,0.1030627934365324,hsa:27090,path:hsa00604,Glycosphingolipid biosynthesis - ganglio series,KEGG
ST6GALNAC4,Male,0.33,0.12,0.006,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,True,11.60333333,10.80333333,23.41333333,23.09666667,0.9310542947230837,-0.1030627934365324,No significant fold-change threshold reached,0.1030627934365324,hsa:27090,path:hsa01100,Metabolic pathways,KEGG
CLTCL1,Overall,0.03,0.1,0.77,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,False,4.753333333,6.1,9.596666667,13.04333333,1.2833099580142573,0.3598696668286874,No significant fold-change threshold reached,0.3598696668286874,hsa:8218,path:hsa04142,Lysosome biogenesis,KEGG
CLTCL1,Overall,0.03,0.1,0.77,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,False,4.753333333,6.1,9.596666667,13.04333333,1.2833099580142573,0.3598696668286874,No significant fold-change threshold reached,0.3598696668286874,hsa:8218,path:hsa04144,Endocytosis,KEGG
CLTCL1,Overall,0.03,0.1,0.77,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,False,4.753333333,6.1,9.596666667,13.04333333,1.2833099580142573,0.3598696668286874,No significant fold-change threshold reached,0.3598696668286874,hsa:8218,path:hsa04721,Synaptic vesicle cycle,KEGG
CLTCL1,Overall,0.03,0.1,0.77,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,False,4.753333333,6.1,9.596666667,13.04333333,1.2833099580142573,0.3598696668286874,No significant fold-change threshold reached,0.3598696668286874,hsa:8218,path:hsa04961,Endocrine and other factor-regulated calcium reabsorption,KEGG
CLTCL1,Overall,0.03,0.1,0.77,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,False,4.753333333,6.1,9.596666667,13.04333333,1.2833099580142573,0.3598696668286874,No significant fold-change threshold reached,0.3598696668286874,hsa:8218,path:hsa05016,Huntington disease,KEGG
CLTCL1,Overall,0.03,0.1,0.77,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,False,4.753333333,6.1,9.596666667,13.04333333,1.2833099580142573,0.3598696668286874,No significant fold-change threshold reached,0.3598696668286874,hsa:8218,path:hsa05100,Bacterial invasion of epithelial cells,KEGG
CLTCL1,Female,-0.008,0.1,0.94,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,False,4.753333333,6.1,9.596666667,13.04333333,1.2833099580142573,0.3598696668286874,No significant fold-change threshold reached,0.3598696668286874,hsa:8218,path:hsa04142,Lysosome biogenesis,KEGG
CLTCL1,Female,-0.008,0.1,0.94,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,False,4.753333333,6.1,9.596666667,13.04333333,1.2833099580142573,0.3598696668286874,No significant fold-change threshold reached,0.3598696668286874,hsa:8218,path:hsa04144,Endocytosis,KEGG
CLTCL1,Female,-0.008,0.1,0.94,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,False,4.753333333,6.1,9.596666667,13.04333333,1.2833099580142573,0.3598696668286874,No significant fold-change threshold reached,0.3598696668286874,hsa:8218,path:hsa04721,Synaptic vesicle cycle,KEGG
CLTCL1,Female,-0.008,0.1,0.94,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,False,4.753333333,6.1,9.596666667,13.04333333,1.2833099580142573,0.3598696668286874,No significant fold-change threshold reached,0.3598696668286874,hsa:8218,path:hsa04961,Endocrine and other factor-regulated calcium reabsorption,KEGG
CLTCL1,Female,-0.008,0.1,0.94,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,False,4.753333333,6.1,9.596666667,13.04333333,1.2833099580142573,0.3598696668286874,No significant fold-change threshold reached,0.3598696668286874,hsa:8218,path:hsa05016,Huntington disease,KEGG
CLTCL1,Female,-0.008,0.1,0.94,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,False,4.753333333,6.1,9.596666667,13.04333333,1.2833099580142573,0.3598696668286874,No significant fold-change threshold reached,0.3598696668286874,hsa:8218,path:hsa05100,Bacterial invasion of epithelial cells,KEGG
CLTCL1,Male,0.1,0.1,0.48,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,False,4.753333333,6.1,9.596666667,13.04333333,1.2833099580142573,0.3598696668286874,No significant fold-change threshold reached,0.3598696668286874,hsa:8218,path:hsa04142,Lysosome biogenesis,KEGG
CLTCL1,Male,0.1,0.1,0.48,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,False,4.753333333,6.1,9.596666667,13.04333333,1.2833099580142573,0.3598696668286874,No significant fold-change threshold reached,0.3598696668286874,hsa:8218,path:hsa04144,Endocytosis,KEGG
CLTCL1,Male,0.1,0.1,0.48,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,False,4.753333333,6.1,9.596666667,13.04333333,1.2833099580142573,0.3598696668286874,No significant fold-change threshold reached,0.3598696668286874,hsa:8218,path:hsa04721,Synaptic vesicle cycle,KEGG
CLTCL1,Male,0.1,0.1,0.48,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,False,4.753333333,6.1,9.596666667,13.04333333,1.2833099580142573,0.3598696668286874,No significant fold-change threshold reached,0.3598696668286874,hsa:8218,path:hsa04961,Endocrine and other factor-regulated calcium reabsorption,KEGG
CLTCL1,Male,0.1,0.1,0.48,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,False,4.753333333,6.1,9.596666667,13.04333333,1.2833099580142573,0.3598696668286874,No significant fold-change threshold reached,0.3598696668286874,hsa:8218,path:hsa05016,Huntington disease,KEGG
CLTCL1,Male,0.1,0.1,0.48,PM2.5,PMC9177798,Phase II qRT-PCR,Placenta,False,4.753333333,6.1,9.596666667,13.04333333,1.2833099580142573,0.3598696668286874,No significant fold-change threshold reached,0.3598696668286874,hsa:8218,path:hsa05100,Bacterial invasion of epithelial cells,KEGG
