st_gene_id	gene_id	gene_symbol	fpkm_con_1	fpkm_con_2	fpkm_con_3	fpkm_p_1	fpkm_p_2	fpkm_p_3	tpm_con_1	tpm_con_2	tpm_con_3	tpm_p_1	tpm_p_2	tpm_p_3	read_count_con_1	read_count_con_2	read_count_con_3	read_count_p_1	read_count_p_2	read_count_p_3	average_fpkm_con	average_fpkm_p	average_tpm_con	average_tpm_p	average_read_count_con	average_read_count_p
G9606_13784	124540	MSI2	12.97	13.04	13.24	13.67	13.47	13.99	26.21	25.97	26.99	28.97	28.93	30.03	1429	1194.27	1423.91	1510.85	1515.04	1547.08	13.08333333	13.71	26.39	29.31	1349.06	1524.323333
G9606_8365	339479	BRINP3	0.02	0.02	0.03	0	0.01	0.02	0.03	0.04	0.06	0	0.03	0.05	0.98	0.94	1.81	0	1	1.5	0.023333333	0.01	0.043333333	0.026666667	1.243333333	0.833333333
G9606_5949	254827	NAALADL2	0.04	0.02	0.03	0.03	0.01	0.05	0.08	0.05	0.05	0.07	0.03	0.1	9	2.01	6	4.12	3	9.81	0.03	0.03	0.06	0.066666667	5.67	5.643333333
G9606_604	8398	PLA2G6	2.35	2.5	2.34	2.6	2.33	2.45	4.75	4.99	4.77	5.52	4.99	5.25	137	125	135	150	136	142	2.396666667	2.46	4.836666667	5.253333333	132.3333333	142.6666667
G9606_35269	55317	AP5S1	19.36	19.15	20.06	18.25	17.78	16	39.12	38.15	40.91	38.68	38.17	34.34	830.02	708.88	842.66	767.35	740.91	692.3	19.52333333	17.34333333	39.39333333	37.06333333	793.8533333	733.52
G9606_15409	105371045	PERCC1	0.03	0.03	0.06	0	0.03	0	0.05	0.06	0.11	0	0.06	0	1	1	2	0	1	0	0.04	0.01	0.073333333	0.02	1.333333333	0.333333333
G9606_26602	117286	CIB3	0.1	0	0	0.1	0	0	0.2	0	0	0.22	0	0	1	0	0	1	0	0	0.033333333	0.033333333	0.066666667	0.073333333	0.333333333	0.333333333
G9606_5548	642	BLMH	31.55	29.97	31.58	27.68	28.36	30.61	63.74	59.72	64.39	58.68	60.89	65.72	1398	1145.49	1379.99	1193	1233.99	1319	31.03333333	28.88333333	62.61666667	61.76333333	1307.826667	1248.663333
G9606_8746	102724877	LOC102724877	0.03	0	0	0.06	0.12	0.06	0.06	0	0	0.12	0.25	0.13	1	0	0	1.97	3.95	2	0.01	0.08	0.02	0.166666667	0.333333333	2.64
G9606_23002	342926	ZNF677	0.2	0.08	0.35	0.37	0.25	0.43	0.4	0.15	0.71	0.79	0.54	0.91	13.87	4.81	24.09	26.26	17.79	28.98	0.21	0.35	0.42	0.746666667	14.25666667	24.34333333
G9606_23324	84878	ZBTB45	14.87	15.21	14.87	14.73	15.2	14.75	30.04	30.31	30.33	31.23	32.63	31.68	615	543	605	591	616	595	14.98333333	14.89333333	30.22666667	31.84666667	587.6666667	600.6666667
G9606_23106	9517	SPTLC2	6.1	6.78	7.02	8.35	8.45	8.23	12.33	13.51	14.31	17.69	18.15	17.68	806.2	706.34	840.49	1021.83	1123.93	1010.15	6.633333333	8.343333333	13.38333333	17.84	784.3433333	1051.97
G9606_14039	23456	ABCB10	8.57	8.52	8.5	7.48	8.02	8	17.31	16.97	17.34	15.86	17.23	17.17	641	543	613	547.34	590.72	587	8.53	7.833333333	17.20666667	16.75333333	599	575.02
G9606_1057	642636	RAD21L1	0.61	0.84	0.37	0.44	0.5	0.44	1.24	1.68	0.76	0.93	1.07	0.95	34.52	43.46	22.4	25.61	27.52	24.57	0.606666667	0.46	1.226666667	0.983333333	33.46	25.9
G9606_2682	54463	RETREG1	2.87	2.3	2.62	3.08	2.72	3.06	5.79	4.59	5.34	6.52	5.84	6.57	183	126	164	186	171	182.96	2.596666667	2.953333333	5.24	6.31	157.6666667	179.9866667
G9606_4129	6426	SRSF1	65.38	61.15	62.4	64.02	61.22	66.84	132.1	121.83	127.24	135.69	131.46	143.5	6866.65	5538.41	6460.25	6535.5	6316.85	6811.39	62.97666667	64.02666667	127.0566667	136.8833333	6288.436667	6554.58
G9606_4530	9203	ZMYM3	39.66	42.2	40.58	42.01	42.3	42.88	80.13	84.07	82.74	89.03	90.84	92.05	4080.01	3742.99	4099.42	4240.03	4291.29	4304.46	40.81333333	42.39666667	82.31333333	90.64	3974.14	4278.593333
G9606_1543	115290	FBXO17	15.03	15.58	14.34	16.19	15.92	16.46	30.36	31.04	29.24	34.32	34.18	35.35	639.74	572	601.97	669.55	665.28	680.96	14.98333333	16.19	30.21333333	34.61666667	604.57	671.93
G9606_2354	55255	WDR41	18.42	18.94	18.33	18.72	18.08	20.82	37.22	37.74	37.38	39.68	38.82	44.69	912	807.91	914	934	921	1019.08	18.56333333	19.20666667	37.44666667	41.06333333	877.97	958.0266667
G9606_23616	64750	SMURF2	9.83	8.77	8.88	10.17	10.52	10.45	19.86	17.47	18.12	21.57	22.58	22.43	1172.41	912.29	1051.2	1190.68	1242.1	1220.42	9.16	10.38	18.48333333	22.19333333	1045.3	1217.733333
G9606_12167	29903	CCDC106	34.23	35.94	35.59	35.84	35.79	34.38	69.16	71.61	72.58	75.97	76.84	73.81	1207	1099.79	1267.47	1254.6	1230.99	1191.26	35.25333333	35.33666667	71.11666667	75.54	1191.42	1225.616667
G9606_16387	64840	PORCN	5.77	5.1	5.09	5.72	5.22	5.38	11.66	10.17	10.39	12.11	11.21	11.55	211	157	181	202	184	191	5.32	5.44	10.74	11.62333333	183	192.3333333
G9606_29004	283991	UBALD2	48.07	50.32	49.99	62.36	58.24	56.89	97.12	100.26	101.94	132.19	125.06	122.14	1317.92	1189.8	1351.73	1662.69	1567.99	1516.72	49.46	59.16333333	99.77333333	126.4633333	1286.483333	1582.466667
G9606_29654	220107	DLEU7	0	0	0	0.02	0	0	0	0	0	0.04	0	0	0	0	0	1	0	0	0	0.006666667	0	0.013333333	0	0.333333333
G9606_3384	342908	ZNF404	1.22	1.74	1.29	1.37	2.1	1.46	2.46	3.47	2.63	2.9	4.52	3.13	43	53	45	47	73	50	1.416666667	1.643333333	2.853333333	3.516666667	47	56.66666667
G9606_13959	283643	TEDC1	15.94	18.25	16.63	19.18	17.34	17.39	32.2	36.37	33.91	40.65	37.24	37.33	516	509	530	604	553.99	549.72	16.94	17.97	34.16	38.40666667	518.3333333	569.2366667
G9606_5539	112937	GLB1L3	0.44	0.38	0.4	0.48	0.38	0.41	0.88	0.76	0.81	1.01	0.81	0.88	22.32	17.03	21.45	27.16	17.39	21.81	0.406666667	0.423333333	0.816666667	0.9	20.26666667	22.12
G9606_18666	122622	ADSS1	3.17	4.61	3.12	3.66	4.42	3.31	6.41	9.18	6.36	7.75	9.5	7.11	105	131	103	118	145	107	3.633333333	3.796666667	7.316666667	8.12	113	123.3333333
G9606_20563	6101	RP1	0.01	0.03	0.01	0	0	0	0.03	0.05	0.02	0	0	0	2	2.95	1	0	0	0	0.016666667	0	0.033333333	0	1.983333333	0
G9606_13496	389075	RESP18	0	0	0	0	0	0.07	0	0	0	0	0	0.15	0	0	0	0	0	1	0	0.023333333	0	0.05	0	0.333333333
G9606_28749	2968	GTF2H4	17.4	18.49	17.93	16.79	18.71	16.18	35.16	36.84	36.55	35.6	40.19	34.74	568	520.4	577	532.99	599.81	513.52	17.94	17.22666667	36.18333333	36.84333333	555.1333333	548.7733333
G9606_2275	5607	MAP2K5	12.33	12.39	13.24	14.32	14.78	15.15	24.92	24.69	27	30.36	31.73	32.51	565.05	492.6	593.71	637.19	664.96	673.04	12.65333333	14.75	25.53666667	31.53333333	550.4533333	658.3966667
G9606_7546	441549	CDNF	0.65	0.62	0.5	0.51	0.46	0.51	1.31	1.23	1.02	1.08	1	1.09	17	14	13.03	13	12	13	0.59	0.493333333	1.186666667	1.056666667	14.67666667	12.66666667
G9606_33007	30848	CTAG2	0.05	0.08	0	0	0	0.06	0.11	0.16	0	0	0	0.12	1	1	0	0	0	1	0.043333333	0.02	0.09	0.04	0.666666667	0.333333333
G9606_7184	132949	AASDH	3.69	4.06	3.57	3.53	3.62	3.97	7.45	8.09	7.28	7.48	7.76	8.53	261.13	231.04	253.14	235.76	244	265.88	3.773333333	3.706666667	7.606666667	7.923333333	248.4366667	248.5466667
G9606_10933	9934	P2RY14	0.02	0.02	0	0.02	0.02	0	0.03	0.04	0	0.05	0.04	0	1	1	0	1	1	0	0.013333333	0.013333333	0.023333333	0.03	0.666666667	0.666666667
G9606_16113	221035	REEP3	18.63	16.09	17.37	19.11	20.17	20.1	37.64	32.07	35.42	40.51	43.32	43.15	1916.32	1431.12	1762.81	1909.79	2038.45	2000.74	17.36333333	19.79333333	35.04333333	42.32666667	1703.416667	1982.993333
G9606_23555	164592	CCDC116	0.14	0.17	0.17	0.24	0.18	0.07	0.29	0.34	0.34	0.5	0.38	0.15	6	6	7	9	8	3	0.16	0.163333333	0.323333333	0.343333333	6.333333333	6.666666667
G9606_4846	1793	DOCK1	12.18	12.72	13.66	14.39	13.96	14.88	24.61	25.34	27.86	30.51	29.98	31.94	1563.68	1371.48	1722.74	1803.85	1795.32	1858.24	12.85333333	14.41	25.93666667	30.81	1552.633333	1819.136667
G9606_28087	1437	CSF2	0	0.24	0.07	0.07	0.07	0	0	0.48	0.14	0.15	0.15	0	0	3	1	1	1	0	0.103333333	0.046666667	0.206666667	0.1	1.333333333	0.666666667
G9606_29111	55911	APOBR	0.26	0.25	0.12	0.22	0.33	0.14	0.52	0.5	0.25	0.46	0.71	0.29	18.99	15.94	8.93	15.48	23.99	9.81	0.21	0.23	0.423333333	0.486666667	14.62	16.42666667
G9606_971	10351	ABCA8	0.58	0.58	0.56	0.55	0.79	0.83	1.17	1.16	1.14	1.17	1.7	1.79	67.61	55.88	55.83	60.81	87.84	83.43	0.573333333	0.723333333	1.156666667	1.553333333	59.77333333	77.36
G9606_20928	4690	NCK1	10.94	10.34	10.92	12.02	11.66	11.23	22.1	20.59	22.26	25.49	25.03	24.11	504	383.98	475	527	521	494	10.73333333	11.63666667	21.65	24.87666667	454.3266667	514
G9606_6255	6596	HLTF	27.17	25.01	26.16	29.99	31	30.98	54.9	49.82	53.34	63.57	66.57	66.51	2687.65	2119.12	2514.97	2863.53	3002.12	2974.73	26.11333333	30.65666667	52.68666667	65.55	2440.58	2946.793333
G9606_2339	753	LDLRAD4	0.23	0.24	0.32	0.39	0.35	0.32	0.47	0.48	0.65	0.82	0.75	0.69	43.07	39.23	55.51	66.55	60.1	53	0.263333333	0.353333333	0.533333333	0.753333333	45.93666667	59.88333333
G9606_32648	169522	KCNV2	0	0.06	0.02	0.05	0.05	0.07	0	0.11	0.05	0.1	0.1	0.16	0	2	1	2	2	3	0.026666667	0.056666667	0.053333333	0.12	1	2.333333333
G9606_34302	64968	MRPS6	66.21	69.91	64.9	65.92	66.3	62.92	133.76	139.29	132.34	139.72	142.36	135.08	1146	1043.62	1107.98	1109.59	1126.92	1058.97	67.00666667	65.04666667	135.13	139.0533333	1099.2	1098.493333
G9606_8392	66002	CYP4F12	0.13	0.14	0.18	0.09	0	0.06	0.27	0.28	0.37	0.19	0	0.13	3	2.72	4	4	0	2	0.15	0.05	0.306666667	0.106666667	3.24	2
G9606_1518	6769	STAC	1.63	1.76	1.81	2.06	1.71	1.53	3.29	3.51	3.69	4.36	3.67	3.29	93	88	102	116.85	95	86	1.733333333	1.766666667	3.496666667	3.773333333	94.33333333	99.28333333
G9606_5130	56902	PNO1	22.32	20.21	18.82	18.56	19.27	19.16	45.1	40.27	38.38	39.35	41.38	41.14	929.44	728.54	769.63	740.8	783.95	771.33	20.45	18.99666667	41.25	40.62333333	809.2033333	765.36
G9606_13161	81844	TRIM56	6.05	5.39	5.79	7.64	7.74	7.79	12.22	10.74	11.8	16.19	16.61	16.72	1274.63	981.79	1201.83	1558.07	1603.42	1594.22	5.743333333	7.723333333	11.58666667	16.50666667	1152.75	1585.236667
G9606_34328	23452	ANGPTL2	3.51	4	4.91	4.46	4.41	4.7	7.09	7.96	10.01	9.45	9.47	10.1	281	281	397	339.58	342	369.79	4.14	4.523333333	8.353333333	9.673333333	319.6666667	350.4566667
G9606_7752	285148	IAH1	14.67	15.2	15.03	14.87	17.3	14.67	29.63	30.29	30.66	31.53	37.15	31.48	606.22	537.79	609.73	590.89	701.88	592.32	14.96666667	15.61333333	30.19333333	33.38666667	584.58	628.3633333
G9606_33299	116534	MRGPRE	0	0	0.01	0.01	0	0	0	0	0.03	0.03	0	0	0	0	1	1	0	0	0.003333333	0.003333333	0.01	0.01	0.333333333	0.333333333
G9606_16052	57205	ATP10D	7.31	6.62	7.28	8.65	8.36	8.51	14.77	13.19	14.84	18.33	17.96	18.27	853	676.97	842.99	987	964	968.87	7.07	8.506666667	14.26666667	18.18666667	790.9866667	973.29
G9606_32805	3593	IL12B	0.04	0.03	0.02	0	0.04	0	0.09	0.05	0.05	0	0.09	0	2	1	1	0	1.8	0	0.03	0.013333333	0.063333333	0.03	1.333333333	0.6
G9606_6928	2182	ACSL4	13.9	12.89	13.56	16.95	17.35	17.74	28.08	25.68	27.65	35.93	37.26	38.09	1330	1066	1281.95	1571	1624.94	1648	13.45	17.34666667	27.13666667	37.09333333	1225.983333	1614.646667
G9606_35777	2310	FOXO3B	4.07	3.84	4.11	4.19	4.86	4.79	8.22	7.65	8.37	8.89	10.44	10.29	468.3	379.96	465.33	468.14	550.49	535.38	4.006666667	4.613333333	8.08	9.873333333	437.8633333	518.0033333
G9606_21578	93081	TEX30	14.51	12.74	12.72	12.43	12.52	13.84	29.31	25.38	25.95	26.36	26.89	29.7	373.34	287.76	321	313.34	314.12	345	13.32333333	12.93	26.88	27.65	327.3666667	324.1533333
G9606_6185	283748	PLA2G4D	0.12	0.14	0.05	0.1	0.1	0.08	0.25	0.27	0.09	0.2	0.21	0.18	10.25	9.7	3.75	7.68	8.07	6.65	0.103333333	0.093333333	0.203333333	0.196666667	7.9	7.466666667
G9606_21716	79840	NHEJ1	3.3	2.8	2.89	3.08	3.11	2.71	6.68	5.57	5.89	6.53	6.69	5.81	515.16	376.87	445.08	468.24	477.37	411.92	2.996666667	2.966666667	6.046666667	6.343333333	445.7033333	452.51
G9606_17487	917	CD3G	0.24	0.2	0.43	0.12	0.42	0.12	0.49	0.39	0.87	0.25	0.9	0.26	12.49	8.83	21.93	6.06	21.38	6.12	0.29	0.22	0.583333333	0.47	14.41666667	11.18666667
G9606_1203	83607	AMMECR1L	14.83	15.56	13.06	13.42	14.45	13.23	29.96	31.01	26.64	28.45	31.02	28.41	1241.74	1100.65	1200.98	1169.82	1266.24	1124.17	14.48333333	13.7	29.20333333	29.29333333	1181.123333	1186.743333
G9606_4555	4640	MYO1A	0.3	0.25	0.32	0.3	0.26	0.15	0.6	0.49	0.65	0.64	0.56	0.31	21	14	22	20	18	10	0.29	0.236666667	0.58	0.503333333	19	16
G9606_15719	23140	ZZEF1	9.39	9.97	10.34	10.79	10.96	11.31	18.98	19.86	21.08	22.87	23.54	24.28	1824	1667.7	2009.91	2058.75	2102.71	2124.95	9.9	11.02	19.97333333	23.56333333	1833.87	2095.47
G9606_17535	3274	HRH2	0.71	0.83	0.66	0.89	0.71	0.63	1.43	1.65	1.35	1.88	1.53	1.35	54	57	48	64	56	42.98	0.733333333	0.743333333	1.476666667	1.586666667	53	54.32666667
G9606_32213	102724971	LOC102724971	0.07	0.17	0.12	0.49	0.22	0.15	0.14	0.34	0.25	1.05	0.46	0.31	1.01	2.08	1.71	6.76	2.99	2	0.12	0.286666667	0.243333333	0.606666667	1.6	3.916666667
G9606_27467	8139	GAN	0.66	0.6	0.65	0.66	0.69	0.65	1.34	1.2	1.32	1.4	1.49	1.39	195.83	153.56	187.79	190.27	200.54	185.95	0.636666667	0.666666667	1.286666667	1.426666667	179.06	192.2533333
G9606_9818	23303	KIF13B	1.72	1.83	2.04	2.11	2.37	2.24	3.48	3.64	4.17	4.46	5.08	4.82	294	269	343	348.85	396	371.99	1.863333333	2.24	3.763333333	4.786666667	302	372.28
G9606_13103	8260	NAA10	38.26	37.57	35.27	30.39	31.8	31.84	77.31	74.85	71.91	64.4	68.28	68.35	1167	988	1060	901	951.99	943.99	37.03333333	31.34333333	74.69	67.01	1071.666667	932.3266667
G9606_8987	253959	RALGAPA1	4	3.57	3.83	4.09	3.99	3.8	8.09	7.11	7.8	8.66	8.56	8.16	627.04	475.17	593.38	631.59	622.2	608.53	3.8	3.96	7.666666667	8.46	565.1966667	620.7733333
G9606_26654	857	CAV1	43.24	40.49	41.04	36.57	37	36.14	87.37	80.68	83.69	77.5	79.45	77.58	2120	1704.3	1990.92	1744.86	1774.68	1722.49	41.59	36.57	83.91333333	78.17666667	1938.406667	1747.343333
G9606_6773	2972	BRF1	13.78	14.22	12.82	14.08	13.96	13.76	27.83	28.33	26.13	29.84	29.97	29.53	867.6	768.53	821.02	863.01	870.5	830.35	13.60666667	13.93333333	27.43	29.78	819.05	854.62
G9606_11395	140467	ZNF358	54.45	58.6	54.92	64.21	61.49	60.83	110	116.76	111.98	136.1	132.05	130.59	1936	1790.01	1928.42	2217	2149	2103.38	55.99	62.17666667	112.9133333	132.9133333	1884.81	2156.46
G9606_5201	116966	WDR17	1.32	1.15	1.56	1.34	1.44	1.35	2.67	2.28	3.18	2.85	3.1	2.9	189.36	140.33	218.32	183.95	202.8	187.85	1.343333333	1.376666667	2.71	2.95	182.67	191.5333333
G9606_17325	2894	GRID1	0.06	0.02	0.04	0.06	0.04	0.04	0.12	0.04	0.08	0.12	0.08	0.08	7	2	3	3.93	3	3	0.04	0.046666667	0.08	0.093333333	4	3.31
G9606_13676	80325	ABTB1	7.63	8.88	8.63	11.55	10.84	11.75	15.42	17.69	17.6	24.49	23.27	25.22	282	278	314	415	393	424	8.38	11.38	16.90333333	24.32666667	291.3333333	410.6666667
G9606_6347	1285	COL4A3	0.02	0.02	0	0.02	0.01	0.01	0.03	0.04	0	0.05	0.02	0.02	1	1	0	3	1	1	0.013333333	0.013333333	0.023333333	0.03	0.666666667	1.666666667
G9606_3340	50809	HP1BP3	53.07	50.63	53.36	55.19	55.41	55.34	107.23	100.88	108.81	116.98	118.98	118.8	4339.8	3586.12	4302.91	4444.42	4461.45	4451.05	52.35333333	55.31333333	105.64	118.2533333	4076.276667	4452.306667
G9606_8630	22982	DIP2C	4.32	4.95	4.62	5.13	5.04	5.01	8.74	9.86	9.42	10.87	10.81	10.76	665	641.67	693.97	769.02	748.98	748	4.63	5.06	9.34	10.81333333	666.88	755.3333333
G9606_31826	57687	VAT1L	0.3	0.11	0.23	0.6	0.57	0.77	0.61	0.22	0.48	1.28	1.22	1.65	22	7	17	43	41	54.99	0.213333333	0.646666667	0.436666667	1.383333333	15.33333333	46.33
G9606_24264	84541	KBTBD8	0.28	0.26	0.23	0.09	0.18	0.25	0.56	0.51	0.48	0.19	0.38	0.53	25	20	21	8	16	22	0.256666667	0.173333333	0.516666667	0.366666667	22	15.33333333
G9606_2415	55092	TMEM51	6.89	8.64	8.14	9	9.4	9.64	13.91	17.22	16.6	19.08	20.18	20.69	256	275	296	321	343	348	7.89	9.346666667	15.91	19.98333333	275.6666667	337.3333333
G9606_68917	112694756	LOC112694756	8.2	9.57	9.55	10.97	9.9	9.87	16.57	19.07	19.47	23.25	21.25	21.19	385.27	385.34	442.01	502.1	460.05	453.46	9.106666667	10.24666667	18.37	21.89666667	404.2066667	471.87
G9606_9342	128869	PIGU	30.43	32.72	30.16	35.49	32.62	34.33	61.49	65.19	61.5	75.22	70.05	73.71	948	877.98	925	1075.98	997.93	1040.95	31.10333333	34.14666667	62.72666667	72.99333333	916.9933333	1038.286667
G9606_2963	54891	INO80D	1.01	0.91	1.09	0.96	1.21	0.99	2.05	1.82	2.22	2.03	2.61	2.13	265	218	278.54	240	298.13	241.69	1.003333333	1.053333333	2.03	2.256666667	253.8466667	259.94
G9606_7733	26146	TRAF3IP1	6.24	6.24	6.98	6.29	6.87	7.03	12.61	12.43	14.23	13.34	14.75	15.09	485.91	418.12	535.69	477.82	521.88	532.89	6.486666667	6.73	13.09	14.39333333	479.9066667	510.8633333
G9606_1986	54536	EXOC6	6.63	6.19	6.83	6.63	7.15	6.72	13.41	12.32	13.93	14.05	15.35	14.42	456	368	462.94	441	482	449.01	6.55	6.833333333	13.22	14.60666667	428.98	457.3366667
G9606_17824	146861	SLC35G3	0.03	0.13	0.03	0	0	0	0.07	0.26	0.06	0	0	0	1.22	4	1	0	0	0	0.063333333	0	0.13	0	2.073333333	0
G9606_7364	4999	ORC2	12.27	10.86	11.44	12	12.73	13.03	24.8	21.64	23.33	25.44	27.33	27.97	859.23	665.78	791.89	813.79	855.49	868.76	11.52333333	12.58666667	23.25666667	26.91333333	772.3	846.0133333
G9606_5559	643866	CBLN3	0.87	0.71	0.81	0.69	0.86	0.91	1.76	1.41	1.66	1.46	1.84	1.94	41.5	29	38.27	32	40	41.95	0.796666667	0.82	1.61	1.746666667	36.25666667	37.98333333
G9606_12082	107985115	LOC107985115	0.44	0.42	0.43	0.59	0.52	0.48	0.89	0.83	0.87	1.25	1.12	1.03	32.79	26.6	31.39	42.66	37.99	34.62	0.43	0.53	0.863333333	1.133333333	30.26	38.42333333
G9606_34576	245972	ATP6V0D2	0.14	0.16	0.22	0.13	0.15	0.23	0.29	0.32	0.44	0.28	0.31	0.49	6.49	6.37	9.66	5.77	6.5	10.16	0.173333333	0.17	0.35	0.36	7.506666667	7.476666667
G9606_5308	152815	THAP6	5.14	4.67	5.15	4.9	5.08	4.89	10.38	9.3	10.5	10.39	10.92	10.5	360.34	282.63	355.7	326.08	353.09	335.76	4.986666667	4.956666667	10.06	10.60333333	332.89	338.31
G9606_18518	9576	SPAG6	0.03	0.05	0.07	0.02	0.02	0	0.05	0.1	0.13	0.04	0.04	0	1.48	2.36	3.67	1.02	1.07	0	0.05	0.013333333	0.093333333	0.026666667	2.503333333	0.696666667
G9606_26189	100652777	LOC100652777	1.58	1.56	1.13	1.1	1.22	1.21	3.19	3.11	2.3	2.33	2.61	2.6	29.97	24.99	20.8	19.66	21.9	21.74	1.423333333	1.176666667	2.866666667	2.513333333	25.25333333	21.1
G9606_13362	84057	MND1	29.45	28.29	29.45	27.94	27.23	26.1	59.5	56.36	60.04	59.23	58.46	56.04	503	417	497	465	460.81	436	29.06333333	27.09	58.63333333	57.91	472.3333333	453.9366667
G9606_21031	1537	CYC1	204.28	225.76	212.28	197.36	188.28	181.68	412.74	449.81	432.86	418.32	404.29	390.05	4641	4422.81	4749.99	4335.85	4189.49	4005	214.1066667	189.1066667	431.8033333	404.22	4604.6	4176.78
G9606_10770	83856	FSD1L	1.18	0.9	1.05	0.96	1.04	1.04	2.39	1.79	2.13	2.04	2.24	2.23	169	115	153	136	149	144.01	1.043333333	1.013333333	2.103333333	2.17	145.6666667	143.0033333
G9606_11644	285761	DCBLD1	9.73	9.06	9.84	10.62	10.75	9.77	19.66	18.06	20.06	22.52	23.09	20.98	651.14	491.45	606.13	650.6	700.51	610.87	9.543333333	10.38	19.26	22.19666667	582.9066667	653.9933333
G9606_33820	4956	ODF1	0	0	0	0.11	0.05	0	0	0	0	0.23	0.11	0	0	0	0	2	1	0	0	0.053333333	0	0.113333333	0	1
G9606_27106	362	AQP5	0.04	0.08	0.29	0.12	0.12	0.2	0.07	0.17	0.59	0.25	0.25	0.43	1	2	6	2	2	4	0.136666667	0.146666667	0.276666667	0.31	3	2.666666667
G9606_3758	481	ATP1B1	18.6	18.64	18.75	19.42	21.2	20.06	37.59	37.15	38.23	41.16	45.53	43.06	791.17	683.82	786.31	803.08	885.42	829.43	18.66333333	20.22666667	37.65666667	43.25	753.7666667	839.31
G9606_978	84871	AGBL4	0.02	0.03	0	0	0	0	0.04	0.05	0	0	0	0	1	1.05	0	0.02	0	0	0.016666667	0	0.03	0	0.683333333	0.006666667
G9606_19168	63978	PRDM14	0	0.08	0	0.03	0.06	0	0	0.15	0	0.06	0.14	0	0	2.11	0	0.92	2.01	0	0.026666667	0.03	0.05	0.066666667	0.703333333	0.976666667
G9606_666	1012	CDH13	22.75	24.53	22.65	30.46	30.69	28.38	45.96	48.88	46.19	64.55	65.89	60.92	1058.54	938.66	1058.84	1385.1	1438.48	1340.07	23.31	29.84333333	47.01	63.78666667	1018.68	1387.883333
G9606_27231	55186	SLC25A36	16.43	14.14	15.01	16.59	17.28	18.01	33.2	28.18	30.6	35.17	37.1	38.66	1517	1129.78	1375.03	1484.97	1559.75	1608.58	15.19333333	17.29333333	30.66	36.97666667	1340.603333	1551.1
G9606_1443	26031	OSBPL3	11.03	10.55	11.02	13.05	13.82	13.23	22.28	21.02	22.47	27.66	29.68	28.4	1436	1185	1410.64	1640.21	1744	1654	10.86666667	13.36666667	21.92333333	28.58	1343.88	1679.403333
G9606_779	8906	AP1G2	31.7	35.3	32.47	34.69	32.43	32.81	64.04	70.34	66.22	73.52	69.63	70.44	1580.37	1523.44	1628.72	1690.85	1618.75	1608.31	33.15666667	33.31	66.86666667	71.19666667	1577.51	1639.303333
G9606_7534	3316	HSPB2	0	0.07	0.2	0	0	0.07	0	0.15	0.4	0	0	0.14	0	1	3	0	0	1	0.09	0.023333333	0.183333333	0.046666667	1.333333333	0.333333333
G9606_34150	80789	INTS5	13.13	14.2	13.59	13.18	13.45	12.1	26.53	28.3	27.71	27.94	28.89	25.97	834	778	851	814	839	746.98	13.64	12.91	27.51333333	27.6	821	799.9933333
G9606_7439	10008	KCNE3	0.22	0.25	0.3	0.15	0.38	0.1	0.44	0.51	0.61	0.32	0.81	0.22	12.24	12.53	16.91	7.82	20.67	5.47	0.256666667	0.21	0.52	0.45	13.89333333	11.32
G9606_14832	5864	RAB3A	3.03	3.5	3.35	3.88	3.66	3.5	6.12	6.97	6.83	8.23	7.87	7.51	85.99	85.66	93.86	107.17	102.15	96.56	3.293333333	3.68	6.64	7.87	88.50333333	101.96
G9606_22521	79867	TCTN2	17.93	17.17	16.7	18.54	18.53	17.75	36.22	34.22	34.06	39.3	39.78	38.1	970.92	785.14	912.17	987.12	1003.52	952.57	17.26666667	18.27333333	34.83333333	39.06	889.41	981.07
G9606_7138	285343	TCAIM	9.64	9.05	8.16	9	9.09	9.92	19.48	18.03	16.64	19.08	19.51	21.29	475.16	385.11	412.62	460.84	459.18	495.05	8.95	9.336666667	18.05	19.96	424.2966667	471.69
G9606_6409	22984	PDCD11	13.9	13.48	14.17	14.18	14.52	14.16	28.09	26.85	28.89	30.06	31.17	30.41	1749	1459.54	1749.32	1733.81	1792.7	1729	13.85	14.28666667	27.94333333	30.54666667	1652.62	1751.836667
G9606_33527	105371242	PPIAL4H	0	0.03	0	0	0	0.03	0	0.05	0	0	0	0.06	0	1.15	0	0	0	1.33	0.01	0.01	0.016666667	0.02	0.383333333	0.443333333
G9606_20606	6337	SCNN1A	6.68	7.26	7.07	7.05	7.38	6.99	13.5	14.47	14.42	14.95	15.85	15	412.72	385.75	428.6	417.38	441	415.61	7.003333333	7.14	14.13	15.26666667	409.0233333	424.6633333
G9606_8852	55333	SYNJ2BP	12.5	11.32	11.65	13.41	13.9	14.23	25.25	22.55	23.75	28.43	29.85	30.54	1718.61	1342.45	1580.1	1793.83	1877.77	1902.49	11.82333333	13.84666667	23.85	29.60666667	1547.053333	1858.03
G9606_17742	683	BST1	0.27	0.28	0.39	0.59	0.54	0.4	0.54	0.55	0.8	1.24	1.17	0.86	11.93	9.09	14.64	22.63	21.33	15.25	0.313333333	0.51	0.63	1.09	11.88666667	19.73666667
G9606_30946	10670	RRAGA	36.08	34.1	35.69	31.29	31.26	32.14	72.9	67.93	72.77	66.31	67.12	69	1097.59	894.49	1070.66	925.46	933.72	950.66	35.29	31.56333333	71.2	67.47666667	1020.913333	936.6133333
