gene_symbol,average_fpkm_con,average_fpkm_p,average_tpm_con,average_tpm_p,fold_change,log2FC,expression_status
MTNR1A,0.14,0.066666667,0.283333333,0.143333333,0.47619047857142854,-1.070389320677923,Downregulated
POU4F2,0.006666667,0.0,0.013333333,0.0,0.0,,Below fold-change threshold
TUBG1,172.7533333,179.19,348.47,383.0766667,1.0372592909036504,0.05277657972640207,Below fold-change threshold
DPM2,56.01333333,53.63333333,112.92,114.6766667,0.9575101166363669,-0.06264036487951873,Below fold-change threshold
CDK2AP2,94.99333333,94.54666667,191.5633333,202.0766667,0.9952979157132184,-0.006799672556834566,Below fold-change threshold
H3-4,0.036666667,0.036666667,0.073333333,0.08,1.0,0.0,Below fold-change threshold
THAP11,20.14333333,19.85,40.62666667,42.44,0.9854376966714278,-0.021163433709456766,Below fold-change threshold
PNKP,30.27333333,28.93666667,61.04333333,61.85666667,0.9558467300105535,-0.065148794234879,Below fold-change threshold
PNMA5,0.013333333,0.006666667,0.02,0.013333333,0.500000037500001,-0.9999998917978731,Below fold-change threshold
SLC26A6,15.26666667,17.40333333,30.79666667,37.20333333,1.13995633141049,0.18897855977229727,Below fold-change threshold
ZC3HC1,17.64333333,16.49,35.60666667,35.24666667,0.9346306444236974,-0.09753175420368562,Below fold-change threshold
RSRC1,13.23,12.56,26.68333333,26.85333333,0.9493575207860923,-0.07497659738704969,Below fold-change threshold
GBP1,0.126666667,0.18,0.256666667,0.39,1.421052627839335,0.506959984923317,Below fold-change threshold
TMEM165,28.17333333,28.13666667,56.84333333,60.15666667,0.9986985331280998,-0.001878842693106926,Below fold-change threshold
DLX1,13.66666667,14.30333333,27.57333333,30.57666667,1.0465853653544914,0.06568999066748628,Below fold-change threshold
EIF3M,117.7133333,106.43,237.4733333,227.5566667,0.9041456648649674,-0.14537287418382747,Below fold-change threshold
SNED1,1.403333333,1.773333333,2.823333333,3.786666667,1.2636579573072824,0.33760601250629335,Below fold-change threshold
ADI1,52.98666667,48.67666667,106.88,104.0666667,0.9186587820886603,-0.12239899485283091,Below fold-change threshold
SOX13,12.65666667,13.5,25.53666667,28.85333333,1.0666315509437367,0.09306190866030371,Below fold-change threshold
CT47A7,0.0,0.003333333,0.003333333,0.006666667,,,Below fold-change threshold
CHMP4B,105.3266667,103.8166667,212.4566667,221.9566667,0.9856636496026129,-0.02083267326901656,Below fold-change threshold
RBM34,25.32,24.75333333,51.10666667,52.92,0.9776197997630331,-0.032654590489033436,Below fold-change threshold
KCTD7,3.986666667,4.656666667,8.043333333,9.953333333,1.1680602006548444,0.22411463119400227,Below fold-change threshold
SKA1,7.27,7.106666667,14.67333333,15.19666667,0.9775332416781294,-0.032782331813905934,Below fold-change threshold
LCE1F,1.16,0.613333333,2.326666667,1.313333333,0.5287356318965518,-0.9193815405757886,Below fold-change threshold
PPP1R15A,35.06666667,39.07333333,70.74,83.52666667,1.1142585549321047,0.1560840375588175,Below fold-change threshold
SDHC,68.86333333,62.70333333,138.9166667,134.0666667,0.9105474611506146,-0.13519387704594335,Below fold-change threshold
COA4,78.22,65.99,157.7533333,141.0666667,0.8436461263104065,-0.24529011831901104,Below fold-change threshold
TP53AIP1,0.173333333,0.213333333,0.353333333,0.456666667,1.2307692312130178,0.2995602823791105,Below fold-change threshold
KEL,0.2,0.276666667,0.41,0.59,1.3833333349999999,0.4681488374765929,Below fold-change threshold
RAB2A,53.78,52.88333333,108.4933333,113.06,0.9833271351803644,-0.024256639879964896,Below fold-change threshold
CPA5,0.193333333,0.2,0.4,0.42,1.0344827604042808,0.04890960296835187,Below fold-change threshold
SAFB2,19.45333333,19.40333333,39.25333333,41.48,0.9974297464012045,-0.0037128656706117294,Below fold-change threshold
DDIT3,17.2,14.21333333,34.69,30.38,0.8263565889534884,-0.27516362788978366,Below fold-change threshold
F5,0.05,0.04,0.103333333,0.086666667,0.7999999999999999,-0.32192809488736246,Below fold-change threshold
IZUMO4,0.9,0.69,1.806666667,1.48,0.7666666666666666,-0.38332863955150576,Below fold-change threshold
LOC105377805,0.093333333,0.126666667,0.19,0.266666667,1.3571428655612245,0.4405726003350296,Below fold-change threshold
H3C4,0.73,0.236666667,1.466666667,0.496666667,0.32420091369863013,-1.6250399380645266,Downregulated
GPR179,0.02,0.04,0.046666667,0.083333333,2.0,1.0,Upregulated
PIK3IP1,1.576666667,2.203333333,3.18,4.703333333,1.3974630016073015,0.4828100876450273,Below fold-change threshold
GPS2,147.43,139.3466667,297.35,297.85,0.9451717201383706,-0.08135163085965562,Below fold-change threshold
C2orf68,15.73,18.18333333,31.71,38.87333333,1.1559652466624284,0.20909802480965456,Below fold-change threshold
LOC107984138,3.6,4.27,7.266666667,9.126666667,1.186111111111111,0.2462391632908154,Below fold-change threshold
